timestamp,tray,filename,patch_sr,processing time,Gradient-SG,GradCAM,matlab_sr,Manual,Hypahl_transect
07-08-19_6dpi,tray1,52-4508058,75.94,41.50019884109497,13.8,27.58,83.0,50.0,83.0
07-08-19_6dpi,tray1,53-4508059,57.08,34.97245121002197,8.31,15.25,50.0,15.0,42.0
07-08-19_6dpi,tray1,54-4508060,5.47,22.493507146835327,0.89,1.33,2.0,0.1,7.0
07-08-19_6dpi,tray1,55-4508061,16.08,24.225755214691162,2.24,4.19,10.0,2.0,5.0
07-08-19_6dpi,tray1,56-4508062,3.44,21.611083030700684,0.64,0.99,2.0,0.2,6.0
07-08-19_6dpi,tray1,57-4508065,21.14,25.90037751197815,2.86,4.83,24.0,2.0,14.0
07-08-19_6dpi,tray1,58-4508066,23.82,26.96752095222473,3.2,5.49,26.0,4.0,30.0
07-08-19_6dpi,tray1,59-4508067,1.37,20.855157613754272,0.39,0.41,0.0,0.0,0.0
07-08-19_6dpi,tray1,60-4508068,10.71,23.375911235809326,1.43,2.24,4.0,0.1,4.0
07-08-19_6dpi,tray1,61-4508070,69.42,38.389384508132935,11.62,21.51,67.0,15.0,63.0
07-08-19_6dpi,tray1,62-4508071,63.8,37.22843933105469,9.54,15.58,35.0,10.0,35.0
07-08-19_6dpi,tray1,63-4508073,55.9,34.557286739349365,10.45,20.21,45.0,10.0,43.0
07-08-19_6dpi,tray1,64-4508074,29.6,28.631752014160156,4.13,6.74,8.0,7.0,23.0
07-08-19_6dpi,tray1,65-4508075,55.73,34.49276113510132,9.15,17.35,27.0,4.0,47.0
07-08-19_6dpi,tray1,66-4508076,23.5,27.120352506637573,3.36,5.97,10.0,0.5,10.0
07-08-19_6dpi,tray1,67-4509001,11.3,23.254700183868408,1.61,2.75,9.0,0.5,7.0
07-08-19_6dpi,tray1,68-4509002,10.55,23.67257785797119,1.78,2.82,3.0,0.1,4.0
07-08-19_6dpi,tray1,69-4509003,25.38,26.755239248275757,3.23,5.68,15.0,0.5,11.0
07-08-19_6dpi,tray1,70-4509004,46.89,31.91648578643799,7.04,11.39,15.0,2.0,23.0
07-08-19_6dpi,tray1,71-4509005,1.16,18.705828428268433,0.13,0.21,5.0,0.2,7.0
07-08-19_6dpi,tray1,72-4509006,9.39,22.89436674118042,1.31,2.27,3.0,0.1,5.0
07-08-19_6dpi,tray1,73-4509007,46.49,32.866485595703125,7.78,13.64,34.0,15.0,41.0
07-08-19_6dpi,tray1,74-4509009,0.0,20.098306894302368,0.02,0.03,43.0,12.0,48.0
07-08-19_6dpi,tray1,75-4509011,25.58,26.938908338546753,3.62,5.87,18.0,4.0,25.0
07-08-19_6dpi,tray1,76-4509012,15.31,24.679113626480103,2.64,4.56,12.0,1.0,8.0
07-08-19_6dpi,tray1,77-4509013,4.92,21.6474711894989,0.75,1.08,2.0,0.1,1.0
07-08-19_6dpi,tray1,78-4509014,22.26,25.7101833820343,3.7,6.51,59.0,35.0,61.0
07-08-19_6dpi,tray1,79-4509015,27.89,27.780457258224487,3.53,6.36,23.0,3.0,22.0
07-08-19_6dpi,tray1,80-4509016,0.64,18.106660842895508,0.2,0.32,15.0,2.0,14.0
07-08-19_6dpi,tray1,81-4509018,6.46,22.180824518203735,0.96,1.6,2.0,0.2,8.0
07-08-19_6dpi,tray1,82-4509019,2.72,20.817806005477905,0.42,0.7,5.0,0.1,0.0
07-08-19_6dpi,tray1,83-4509020,15.73,24.9831964969635,2.47,3.91,5.0,0.1,9.0
07-08-19_6dpi,tray1,84-4509021,40.28,31.55992102622986,6.0,11.2,43.0,40.0,56.0
